Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,total_value,is_returned,Age_Group,return_risk_score
ORD00000000,PROD00000000,USER00000000,05-08-23,26-08-24,Clothing,411.59,3,Changed mind,Returned,387.0,58,Male,Other,Debit Card,Next-Day,45.27,1234.77,1,56–65,0.5801587932581773
ORD00000001,PROD00000001,USER00000001,09-10-23,09-11-23,Books,288.88,3,Wrong item,Returned,31.0,68,Female,Other,Credit Card,Express,47.79,866.64,1,65+,0.5435405325670204
ORD00000002,PROD00000002,USER00000002,06-05-23,,Toys,390.03,5,,Not Returned,,22,Female,Other,Debit Card,Next-Day,26.64,1950.1499999999999,0,18–25,0.5348305657674615
ORD00000003,PROD00000003,USER00000003,29-08-24,,Toys,401.09,3,,Not Returned,,40,Male,Other,PayPal,Next-Day,15.37,1203.27,0,36–45,0.5713264000521127
ORD00000004,PROD00000004,USER00000004,16-01-23,,Books,110.09,4,,Not Returned,,34,Female,Other,Gift Card,Standard,16.37,440.36,0,26–35,0.49568905159951426
ORD00000005,PROD00000005,USER00000005,14-02-24,22-09-24,Electronics,252.12,1,Defective,Returned,221.0,46,Female,Other,Debit Card,Next-Day,47.61,252.12,1,46–55,0.569305917108104
ORD00000006,PROD00000006,USER00000006,29-05-23,03-08-23,Clothing,382.89,2,Wrong item,Returned,66.0,25,Male,Other,Credit Card,Express,28.49,765.78,1,18–25,0.5680005328235298
ORD00000007,PROD00000007,USER00000007,09-02-23,01-08-24,Electronics,306.39,3,Not as described,Returned,539.0,67,Female,Other,Credit Card,Express,38.91,919.17,1,65+,0.629097939662859
ORD00000008,PROD00000008,USER00000008,25-12-24,25-09-24,Home,302.4,5,Defective,Returned,-91.0,54,Male,City81,Debit Card,Standard,18.5,1512.0,1,46–55,0.4741447139011297
ORD00000009,PROD00000009,USER00000009,10-03-23,21-01-24,Clothing,294.94,3,Not as described,Returned,317.0,44,Male,Other,Credit Card,Standard,45.21,884.8199999999999,1,36–45,0.5403677793143483
ORD00000010,PROD00000010,USER00000010,26-05-24,,Toys,119.0,2,,Not Returned,,70,Female,Other,Credit Card,Next-Day,8.72,238.0,0,65+,0.410307372361588
ORD00000011,PROD00000011,USER00000011,08-02-24,,Home,480.48,4,,Not Returned,,54,Male,City22,Gift Card,Next-Day,0.27,1921.92,0,46–55,0.39383447645575165
ORD00000012,PROD00000012,USER00000012,07-06-24,,Toys,216.41,3,,Not Returned,,66,Male,Other,PayPal,Standard,30.26,649.23,0,65+,0.4501288777511463
ORD00000013,PROD00000013,USER00000013,22-07-23,,Electronics,198.78,2,,Not Returned,,51,Male,Other,PayPal,Next-Day,36.58,397.56,0,46–55,0.5454895630343983
ORD00000014,PROD00000014,USER00000014,01-09-24,,Electronics,146.37,4,,Not Returned,,45,Male,Other,PayPal,Next-Day,28.23,585.48,0,36–45,0.5945042154953678
ORD00000015,PROD00000015,USER00000015,02-10-24,04-12-23,Electronics,370.08,2,Wrong item,Returned,-303.0,24,Female,Other,Credit Card,Standard,23.99,740.16,1,18–25,0.5112780646686357
ORD00000016,PROD00000016,USER00000016,09-05-24,,Clothing,311.08,1,,Not Returned,,52,Female,Other,PayPal,Standard,6.66,311.08,0,46–55,0.4745558947845675
ORD00000017,PROD00000017,USER00000017,03-02-23,03-06-23,Electronics,400.12,1,Defective,Returned,120.0,33,Male,Other,PayPal,Standard,18.25,400.12,1,26–35,0.45186751015223314
ORD00000018,PROD00000018,USER00000018,07-10-24,18-03-23,Books,358.31,1,Changed mind,Returned,-569.0,51,Female,City43,PayPal,Standard,11.84,358.31,1,46–55,0.5419238380176317
ORD00000019,PROD00000019,USER00000019,06-07-24,01-05-24,Electronics,227.94,5,Changed mind,Returned,-66.0,50,Female,Other,Debit Card,Express,43.86,1139.7,1,46–55,0.5448493138475309
ORD00000020,PROD00000020,USER00000020,03-07-23,,Clothing,6.14,1,,Not Returned,,31,Female,Other,Credit Card,Next-Day,47.47,6.14,0,26–35,0.5346070822379652
ORD00000021,PROD00000021,USER00000021,28-02-24,06-01-23,Books,85.69,2,Changed mind,Returned,-418.0,30,Female,City26,Debit Card,Standard,24.58,171.38,1,26–35,0.5521027679625301
ORD00000022,PROD00000022,USER00000022,13-07-24,13-09-23,Books,227.2,5,Wrong item,Returned,-304.0,65,Female,Other,Gift Card,Next-Day,27.94,1136.0,1,56–65,0.5263810486598506
ORD00000023,PROD00000023,USER00000023,01-07-24,24-01-24,Electronics,57.14,2,Wrong item,Returned,-159.0,41,Female,City28,Gift Card,Standard,43.06,114.28,1,36–45,0.5409526960194891
ORD00000024,PROD00000024,USER00000024,27-07-24,,Toys,274.29,2,,Not Returned,,18,Male,Other,Gift Card,Express,2.49,548.58,0,,0.5325807601242688
ORD00000025,PROD00000025,USER00000025,22-11-24,,Electronics,371.15,5,,Not Returned,,58,Female,Other,Gift Card,Standard,18.68,1855.75,0,56–65,0.4512631670807044
ORD00000026,PROD00000026,USER00000026,05-03-23,,Toys,232.97,5,,Not Returned,,21,Female,Other,Debit Card,Express,9.85,1164.85,0,18–25,0.4964598692337309
ORD00000027,PROD00000027,USER00000027,26-05-24,,Home,455.82,1,,Not Returned,,52,Female,Other,PayPal,Express,11.96,455.82,0,46–55,0.5865264483422642
